title,name,way,layout,size,zone,position,location,money,subway
万通新新家园 家具家电齐全 拎包住可看房同看丽高花园丽嘉花园,万通天竺新新家园,整租,5室3厅,551㎡,顺义,天竺,朝南,31000,无
便宜甩 刘家窑南里 精装修大两居室 可空房可配齐家具 随时看,刘家窑南里,整租,2室2厅,88㎡,丰台,刘家窑,朝南,5000,刘家窑站
河滩城子 新房九龙东苑 大3居 精装修 家具电器齐全,九龙东苑,整租,3室1厅,105㎡,门头沟,城子,朝南北,3200,无
中央别墅区誉天下南北4室,誉天下,整租,4室2厅,269㎡,顺义,中央别墅区,朝南,28000,无
东三环,亮马桥,东西通透,落地窗,US联邦公寓4居室,三元桥,US联邦公寓,整租,4室2厅,228㎡,朝阳,燕莎,朝东西,30000,亮马桥站
晶彩亦庄 两居室 南向 家电齐全 随时入住 钥匙看房 南向卧,珠江逸景家园,整租,2室1厅,88㎡,通州,马驹桥,朝南,3600,无
亦庄 文化园 林肯公园燃气两居 东北朝向 精装修维护好,林肯公园C区住宅,整租,2室1厅,68㎡,大兴,亦庄,朝东北,7000,亦庄文化园站
出租 保利百合花园 3室 南北 简装修,保利百合花园,整租,3室2厅,139㎡,丰台,六里桥,朝南北,16000,六里桥站
顺义中央别墅区 看房方便 豪华装修 大挑空 车库,龙湾别墅,整租,5室3厅,421㎡,顺义,中央别墅区,朝南,63000,无
全新装修!全新家具!头一回出租!带电梯!天竺万通大别墅 舒适,万通天竺新新家园,整租,6室3厅,551㎡,顺义,天竺,朝南,49000,无
出租 翠成馨园 3室 东南向 简装修,翠成馨园,整租,3室1厅,98㎡,朝阳,垡头,朝东南,5700,垡头站
莲花桥 六里桥 莲宝路七号院 四室两卫 随时看房,莲宝路7号院,整租,4室2厅,150㎡,海淀,公主坟,朝南,12000,六里桥站
精装2室 全南 采光视野佳 家私齐可直接带包住周边配套齐全,丽都壹号·峯境,整租,2室1厅,89㎡,朝阳,酒仙桥,朝南,12900,无
紫竹桥,6、10号线双轨交汇,安静不临街,随时起租,环境好,中海雅园,整租,3室2厅,151㎡,海淀,紫竹桥,朝东南,15500,慈寿寺站
鼓楼南锣精装一居小复式4500元明亮出租,小经厂胡同,整租,1室1厅,40㎡,东城,安定门,朝东西,4500,安定门站
出租 新城国际公寓 4室 南北向 精装修,新城国际公寓,整租,4室2厅,287㎡,朝阳,CBD,朝南北,56000,金台夕照站
上京新航线 高楼层3居室 采光视野好 前后不临街,上京新航线,整租,3室2厅,174㎡,朝阳,望京,朝南北,17500,东湖渠站
总部基地 精装修 家具家电齐全 房子干净 拎包入住紧邻地铁,京投银泰万科西华府,整租,3室2厅,113㎡,丰台,科技园区,朝南北,11500,郭公庄站
出租 华澳中心一期 3室 东南向 简装修,华澳中心一期,整租,3室2厅,216㎡,海淀,紫竹桥,朝东南,22000,万寿寺站
出租 泛海容郡 4室 南北 豪华装修,泛海容郡,整租,4室2厅,321㎡,朝阳,朝阳公园,朝南北,80000,无
万通优选 500平独栋 5房南北通透 位置好 装修好随时看,万通天竺新新家园,整租,5室3厅,501㎡,顺义,天竺,朝南,30000,无
独栋|全屋地暖|新风软水|价钱可谈,香江花园,整租,4室2厅,349㎡,朝阳,来广营,朝南,58000,无
中间建筑 精装叠拼 使用320平 会所接待 格局方正 随时,中间建筑,整租,4室2厅,242㎡,海淀,西山,朝南,38000,无
橡树湾五期,首次出租,钥匙房源,随时可看,随时起租,华润橡树湾,整租,3室2厅,156㎡,海淀,清河,朝南北,29000,无
出租 世纪城远大园四区 2室 东南向 精装修,世纪城远大园四区,整租,2室1厅,124㎡,海淀,世纪城,朝东南,13800,车道沟站
公主坟、高层有钥匙、随时看、地下车位、可居家可接待,新华联国际公寓,整租,4室2厅,274㎡,海淀,公主坟,朝南北,58000,公主坟站
出租 中信沁园 2室 南 精装修,中信沁园,整租,2室1厅,90㎡,西城,陶然亭,朝南,17000,菜市口站
总部基地 精装修 家具齐全 房子干净 临近地铁九号线,万科蓝,整租,2室1厅,60㎡,丰台,科技园区,朝东,5900,郭公庄站
三里屯 首开幸福广场 中国红街 幸福二村小区开间 独卫,幸福二村,整租,1室0厅,20㎡,朝阳,东直门,朝南,3300,无
西三环 六里桥风荷曲苑2室1厅 带固定车位出租,风荷曲苑,整租,2室1厅,115㎡,丰台,六里桥,朝西北,9700,六里桥站
紫芳园三区 南向两居 家具电全 可以空房 能长租有钥匙,紫芳园三区,整租,2室1厅,104㎡,丰台,方庄,朝南,12000,方庄站
上海沙龙次顶层两居室齐全出租,上海沙龙,整租,2室2厅,87㎡,大兴,亦庄,朝南北,7200,无
方庄 芳城园三区 一居 商业齐全 近地铁 随时入住 便宜出租,芳城园三区,整租,1室1厅,62㎡,丰台,方庄,朝南,4500,方庄站
中央别墅区誉天下南北4室,誉天下,整租,4室2厅,269㎡,顺义,中央别墅区,朝南,28000,无
北新桥张自忠路精装四合院会所接待出租 四合院,东单四合院,整租,4室2厅,330㎡,东城,东单,朝南北,200000,东单站
电梯楼东直门斜街左家庄新源西里中街胡家园渔阳饭店附近两居,新源西里中街,整租,2室1厅,68㎡,朝阳,东直门,朝南,7500,无
常营,六号线近地铁,首开畅心园,高层精装两居,5400,首开畅心园,整租,2室1厅,71㎡,朝阳,常营,朝东,5400,草房站
(轻奢简约装修华腾园一居)价格能谈 有钥匙 随时起租 保养好,华腾园,整租,1室1厅,60㎡,朝阳,双井,朝北,7000,劲松站
东三环一一摩码大厦33平米精装小型写字间出租,摩码大厦,整租,1室0厅,33㎡,朝阳,团结湖,朝南,5500,金台路站
居家2居,出行方便,周边配套设施齐全 低价急租,翠成馨园,整租,2室1厅,72㎡,朝阳,垡头,朝东南,5200,垡头站
东直门 万国府 新房出租 290平四居室 大户型 高层景观佳,梵悦万国府,整租,4室2厅,290㎡,东城,东直门,朝西南,95000,无
整租·玫瑰园 4室3厅 南/北,北京玫瑰园,整租,4室3厅,260㎡,昌平,沙河,朝南,20000,无
步行上青苗,全新豪华装修,现代简约风格,私家电梯,有地暖新风,万通天竺新新家园,整租,5室3厅,389㎡,顺义,天竺,朝南,35000,无
望京南湖东园一区1室1厅,看房随时,南湖东园一区,整租,1室1厅,61㎡,朝阳,望京,朝东,6200,望京站
合租·青塔东里主卧带阳台·五棵松301,青塔东里,整租,1室1厅,12㎡,丰台,青塔,朝北,2060,无
优山美地 租售部,10多套可看,联排独栋双拼,优山美地,整租,5室2厅,356㎡,顺义,中央别墅区,朝南,38000,无
东户 面宽11米 有钥匙 长租 能谈 有车位 懋源 豪华装修,懋源璟玺,整租,4室2厅,261㎡,朝阳,孙河,朝南,52000,无
广华新城 3室2厅1卫 配套齐全 130平,广华新城,整租,3室2厅,156㎡,朝阳,百子湾,朝南北,13500,无
出租 万泉新新家园 4室 南北向 豪华装修,万泉新新家园,整租,4室2厅,246㎡,海淀,万柳,朝南北,45000,巴沟站
东三环一一摩码大厦45平米和51平米出租 适合商务办公,摩码大厦,整租,1室0厅,45㎡,朝阳,团结湖,朝东,6000,金台路站
出租 紫芳园三区 2室 南 精装修,紫芳园三区,整租,2室2厅,104㎡,丰台,方庄,朝南,11000,方庄站
来北家园 3室1卫1厅 114平精装修 2300元/月,来北家园,合租次卧,3户合租,14㎡,朝阳,北苑,朝南,2300,无
国锐金嵿 高楼层 一居室 保养好 齐全租,国锐金嵿,整租,1室1厅,72㎡,大兴,亦庄,朝南,7800,荣京东街站
灯市口地铁美术馆地铁北河沿东厂胡同妇产医院东华门锡拉附近一居,大草厂胡同,整租,1室1厅,40㎡,东城,灯市口,朝南,5000,中国美术馆站
空气好 龙门新区A4 看房随时 2居室南向 配套齐全,龙门新区,整租,2室1厅,65㎡,门头沟,东辛房,朝南,2900,无
吉利家园 3室1卫1厅 122平精装修 3200元/月,吉利家园,合租主卧,4户合租,20㎡,朝阳,芍药居,朝南,3200,芍药居站
前泥洼二区 精装修1居室 家电齐全 房子干净 不容错过,前泥洼,整租,1室1厅,50㎡,丰台,丽泽桥,朝南,4500,泥洼站
新荣家园 3室1卫1厅 122平精装修 4500元/月,新荣家园,合租主卧,3户合租,25㎡,朝阳,亚运村,朝南,4500,安立路站
地安门景山玉河四合院会所接待出租 四合院,宽街四合院,整租,5室3厅,320㎡,东城,东四,朝南北,130000,张自忠路站
成寿寺 新小区 恒悦城 精装修大两居室 随时看房 采光好,华芳园,整租,2室2厅,88㎡,丰台,方庄,朝南,6000,成寿寺站
果岭里 出租 南北平层四居室 5层全天采光,果岭里CLASS,整租,4室2厅,216㎡,朝阳,望京,朝南北,30000,无
惠新里 3室1卫1厅 102平精装修 2600元/月,惠新里,合租次卧,3户合租,16㎡,朝阳,惠新西街,朝南,2600,惠新西街南口站
朱辛庄新村北区/朝南大主卧 带阳台精装修 随时住业主首次出租,朱辛庄新村北区,整租,3室1厅,110㎡,昌平,回龙观,朝南北,2500,朱辛庄站
万泉新新家园 3室2卫2厅 137平精装修 30000元/月,万泉新新家园,整租,3室2厅,137㎡,海淀,万柳,朝南北,30000,巴沟站
新城国际 观樱花阵大开间 配备齐全 落地窗 景观好 及时入住,新城国际公寓,整租,1室1厅,62㎡,朝阳,CBD,朝北,12000,金台夕照站
安定门鼓楼雍和宫交道口四合院出租独院可办公会所四合院,安定门内四合院,整租,9室3厅,600㎡,东城,安定门,朝南,260000,安定门站
六号线 物资站 精装主卧 朝南户型 近地铁 可月付,通州新建村,合租主卧,2户合租,17㎡,通州,北关,朝南,1899,无
合租·石景山鲁谷·重聚园正规次卧出租1,重聚园,合租次卧,4户合租,12㎡,石景山,鲁谷,朝北,1800,无
东恒时代二期 1室1卫1厅 73.56平 精装修,东恒时代二期,整租,1室1厅,73㎡,朝阳,四惠,朝南,9900,四惠站
水青庭新出上叠 房况好家具齐全 拎包住 私家电梯,水青庭,整租,5室2厅,314㎡,顺义,后沙峪,朝南,26000,无
出租 博雅园 2室 西 简装修,博雅园,整租,2室2厅,135㎡,朝阳,朝阳公园,朝西,18000,朝阳公园站
西山美墅馆 独栋区别墅 环境优雅 紧邻四环五环 可做会所办公,西山美墅馆,整租,6室2厅,296㎡,海淀,西山,朝东,64999,无
东城区 崇文门 新世界家园 3室 南北通透三居室 豪华装修,新世界家园,整租,3室1厅,169㎡,东城,崇文门,朝南北,30000,磁器口站
美式独栋 新装修 地暖新风 南入北花园 6室 挑空客厅,优山美地,整租,5室3厅,596㎡,顺义,中央别墅区,朝南,55000,无
西城,西二环,地铁200m,明厨明卫,双卧朝南,家具家电齐全,丽水莲花,整租,2室1厅,105㎡,西城,广安门,朝南,12500,湾子站
宋家庄 政馨园 顶秀金颐 顶秀金瑞 顶秀东苑 精装修大主卧,顶秀欣园东苑,合租主卧,3户合租,18㎡,丰台,宋家庄,朝南,2000,宋家庄站
誉天下别墅 新出房源 手次出租 业主要去香港住 可长租随时看,誉天下,整租,5室3厅,461㎡,顺义,中央别墅区,朝南,30000,无
出租 保利百合花园 3室 南北向 精装修,保利百合花园,整租,3室2厅,139㎡,丰台,六里桥,朝南北,15500,六里桥站
林肯时代169平米三居室 家具全齐 首次出租 看房随时,林肯时代,整租,3室2厅,170㎡,大兴,亦庄,朝东南,18500,荣京东街站
六号线常营,畅心园,精装南向两居,5499,首开畅心园,整租,2室1厅,70㎡,朝阳,常营,朝南,5499,草房站
西钓鱼台家园 豪装沁水大宅 拎包入住 长签稳定 西南四居室,西钓鱼台嘉园,整租,4室2厅,213㎡,海淀,航天桥,朝西南,32000,西钓鱼台站
合租·五棵松地铁 301医院 复兴路32号院次卧出租1,复兴路32号院,合租次卧,4户合租,12㎡,海淀,五棵松,朝北,2100,五棵松站
上海沙龙 中楼层 南北通透 三居室 齐全出租,上海沙龙,整租,3室2厅,117㎡,大兴,亦庄,朝南北,9000,无
出租 荣丰2008 1室 东向 精装修,荣丰2008,整租,1室1厅,49㎡,西城,广安门,朝东,5800,达官营站
齐全2居 有钥匙 随时起租 接受长租 人车分流 出行方便,紫金长安,整租,2室1厅,117㎡,海淀,五棵松,朝东西,12500,五棵松站
