,年龄,工作,婚姻状况,学历,信用违约,房贷,个人贷款,通讯类型,联系日期,联系月份,通话时间,联系次数,距离上次联系的天数,活动前联系次数,上次营销活动的结果,本次活动结果
50,45,蓝领,离异,小学,否,否,否,未知,5,六月,1018,3,-1,0,未知,是
51,37,技术人员,单身,中学,否,是,否,手机,20,八月,1740,2,-1,0,未知,否
52,38,技术人员,单身,中学,否,否,否,手机,29,八月,98,2,-1,0,未知,否
53,34,技术人员,已婚,高等教育,否,是,否,手机,15,六月,441,1,56,1,其他,是
54,53,蓝领,已婚,中学,否,是,否,手机,14,七月,272,3,-1,0,未知,否
55,48,行政,已婚,中学,否,是,否,座机,15,七月,159,2,-1,0,未知,否
56,57,管理者,已婚,中学,否,否,是,座机,4,二月,140,1,-1,0,未知,否
57,33,个体户,单身,高等教育,否,否,否,手机,17,十一月,295,1,-1,0,未知,否
58,36,已退休,单身,中学,否,是,是,未知,26,五月,314,1,-1,0,未知,否
59,54,技术人员,离异,中学,否,是,是,未知,15,五月,579,1,-1,0,未知,否
60,41,蓝领,已婚,小学,否,否,是,座机,8,七月,554,3,-1,0,未知,否
61,63,已退休,已婚,中学,否,是,否,手机,7,十月,323,1,-1,0,未知,否
62,48,管理者,已婚,高等教育,否,否,否,手机,13,八月,227,2,-1,0,未知,否
63,48,服务业,已婚,中学,否,否,否,手机,4,七月,134,2,-1,0,未知,否
64,56,行政,已婚,中学,否,否,否,手机,7,十月,223,1,-1,0,未知,否
65,51,蓝领,离异,中学,否,是,否,手机,8,五月,134,1,170,5,失败,否
66,31,服务业,已婚,中学,否,是,否,手机,28,一月,155,1,-1,0,未知,否
67,29,技术人员,已婚,中学,否,是,否,手机,21,七月,130,4,-1,0,未知,否
68,41,管理者,已婚,中学,否,否,是,手机,7,七月,630,3,-1,0,未知,否
69,32,技术人员,单身,高等教育,否,否,否,手机,19,十一月,164,2,-1,0,未知,否
70,37,管理者,已婚,高等教育,否,否,否,手机,16,七月,268,2,182,3,成功,是
71,42,企业家,离异,高等教育,是,是,否,未知,5,五月,380,1,-1,0,未知,否
72,31,管理者,单身,高等教育,否,是,否,未知,9,五月,154,2,-1,0,未知,否
73,41,服务业,已婚,高等教育,否,是,否,未知,3,六月,154,5,-1,0,未知,否
74,56,已退休,已婚,中学,否,是,否,未知,15,五月,221,1,-1,0,未知,否
75,54,管理者,离异,高等教育,否,否,否,手机,14,八月,67,2,-1,0,未知,否
76,41,蓝领,离异,中学,否,是,否,手机,14,五月,367,2,297,1,其他,否
77,40,技术人员,单身,中学,否,否,是,手机,14,八月,87,6,-1,0,未知,否
78,50,蓝领,离异,小学,否,否,否,手机,5,二月,701,1,-1,0,未知,否
79,40,没工作,已婚,中学,否,是,否,手机,17,十一月,204,2,196,1,失败,否
80,27,行政,离异,中学,否,是,否,手机,16,七月,652,1,-1,0,未知,是
81,60,已退休,已婚,小学,否,否,否,手机,26,八月,63,2,-1,0,未知,否
82,28,行政,单身,中学,否,是,是,手机,6,五月,150,1,-1,0,未知,否
83,52,服务业,已婚,中学,否,否,否,座机,7,七月,398,2,460,2,失败,是
84,37,管理者,已婚,高等教育,否,否,否,手机,30,六月,224,1,-1,0,未知,是
85,51,蓝领,已婚,小学,否,是,否,未知,7,五月,406,2,-1,0,未知,否
86,41,技术人员,单身,中学,否,否,是,手机,7,七月,60,4,-1,0,未知,否
87,35,蓝领,单身,小学,否,是,否,未知,30,五月,521,2,-1,0,未知,否
88,38,行政,已婚,中学,否,是,否,手机,17,四月,279,1,-1,0,未知,否
89,34,蓝领,已婚,中学,否,是,否,未知,20,五月,203,2,-1,0,未知,否
90,39,蓝领,已婚,小学,否,否,否,手机,18,十一月,201,2,-1,0,未知,否
91,34,蓝领,已婚,小学,否,是,否,未知,20,六月,372,3,-1,0,未知,否
92,27,服务业,单身,中学,否,是,否,手机,18,五月,391,1,-1,0,未知,是
93,32,管理者,单身,高等教育,否,否,否,手机,14,八月,165,2,-1,0,未知,否
94,57,蓝领,已婚,中学,否,否,否,手机,11,八月,231,5,-1,0,未知,否
95,41,未知,单身,高等教育,否,否,否,手机,1,七月,291,2,-1,0,未知,否
96,41,行政,已婚,高等教育,否,是,否,未知,14,五月,149,2,-1,0,未知,否
97,30,行政,单身,高等教育,否,否,否,手机,19,十月,233,1,137,20,失败,否
98,36,蓝领,离异,中学,否,否,否,手机,12,二月,473,1,182,1,成功,否
99,31,没工作,单身,小学,否,否,否,手机,4,二月,736,1,-1,0,未知,是
100,36,蓝领,已婚,中学,否,是,否,未知,6,五月,337,1,-1,0,未知,否
101,38,管理者,单身,高等教育,否,是,否,手机,11,五月,553,1,367,7,失败,否
102,49,技术人员,已婚,中学,否,否,否,座机,21,十一月,345,2,-1,0,未知,否
103,57,服务业,单身,小学,否,是,否,座机,13,五月,65,2,-1,0,未知,否
104,34,管理者,单身,中学,否,否,否,未知,13,八月,9,1,-1,0,未知,否
105,32,管理者,单身,高等教育,否,是,否,手机,14,四月,259,2,145,3,失败,否
106,37,蓝领,已婚,中学,否,是,是,未知,9,六月,371,3,-1,0,未知,否
107,33,个体户,已婚,高等教育,否,是,否,手机,3,二月,280,2,-1,0,未知,否
108,56,没工作,已婚,小学,否,否,否,手机,21,四月,243,1,-1,0,未知,是
109,27,保姆,已婚,小学,否,是,否,手机,23,七月,435,3,-1,0,未知,否
110,21,学生,单身,中学,否,否,否,手机,30,六月,258,6,169,3,成功,是
111,58,管理者,已婚,高等教育,否,是,否,座机,29,七月,7,5,-1,0,未知,否
112,32,个体户,已婚,中学,否,是,是,手机,15,七月,317,5,-1,0,未知,否
113,33,蓝领,单身,中学,否,否,否,手机,30,一月,76,2,207,1,失败,否
114,25,学生,单身,中学,否,否,否,座机,26,八月,170,4,-1,0,未知,是
115,25,技术人员,单身,中学,否,否,是,手机,17,十一月,386,2,-1,0,未知,是
116,30,服务业,已婚,中学,否,是,否,手机,18,五月,83,2,-1,0,未知,否
117,22,行政,单身,中学,否,否,是,手机,19,八月,65,1,-1,0,未知,否
118,39,蓝领,已婚,小学,否,否,否,手机,13,八月,69,1,-1,0,未知,否
119,46,管理者,离异,高等教育,否,否,否,未知,17,六月,564,2,-1,0,未知,否
120,31,行政,离异,中学,否,是,否,手机,21,七月,588,1,-1,0,未知,否
121,45,蓝领,已婚,小学,否,否,否,手机,18,八月,113,4,-1,0,未知,否
122,32,技术人员,已婚,中学,否,是,否,未知,21,五月,16,1,-1,0,未知,否
123,36,蓝领,已婚,中学,否,否,是,手机,15,七月,779,2,-1,0,未知,否
124,51,管理者,单身,高等教育,是,是,否,手机,11,五月,281,2,266,6,失败,否
125,34,个体户,单身,高等教育,否,否,否,手机,21,八月,1877,3,-1,0,未知,是
126,24,没工作,单身,中学,否,否,否,未知,15,九月,51,1,-1,0,未知,否
127,45,技术人员,单身,中学,否,否,是,手机,28,七月,32,3,-1,0,未知,否
128,32,蓝领,单身,中学,否,否,否,座机,5,二月,176,1,288,3,失败,否
129,77,已退休,离异,高等教育,否,否,否,手机,14,四月,161,1,-1,0,未知,是
130,41,蓝领,已婚,小学,否,是,否,手机,18,十一月,187,3,-1,0,未知,否
131,37,蓝领,已婚,小学,否,是,否,未知,26,五月,24,1,-1,0,未知,否
132,43,蓝领,已婚,未知,是,是,否,未知,30,五月,67,3,-1,0,未知,否
133,48,行政,已婚,未知,否,是,否,手机,8,五月,85,1,168,2,失败,否
134,27,技术人员,单身,中学,否,是,否,未知,9,五月,317,2,-1,0,未知,否
135,33,管理者,单身,高等教育,否,否,否,手机,28,八月,236,10,-1,0,未知,否
136,29,行政,单身,中学,否,是,是,手机,7,五月,54,1,345,2,失败,否
137,34,管理者,单身,高等教育,否,否,否,手机,5,二月,71,1,-1,0,未知,否
138,52,管理者,已婚,高等教育,否,是,否,手机,4,二月,489,1,-1,0,未知,是
139,60,管理者,已婚,未知,否,否,否,未知,19,六月,39,2,-1,0,未知,否
140,32,管理者,离异,高等教育,否,否,否,手机,12,八月,204,2,-1,0,未知,否
141,32,管理者,单身,高等教育,否,是,否,手机,22,七月,455,2,-1,0,未知,否
142,56,服务业,离异,未知,否,是,否,未知,30,五月,86,1,-1,0,未知,否
143,31,管理者,单身,高等教育,否,是,否,手机,18,十一月,190,2,-1,0,未知,否
144,42,行政,已婚,中学,否,是,是,未知,8,五月,280,2,-1,0,未知,否
145,35,管理者,已婚,高等教育,否,否,是,手机,11,八月,588,2,-1,0,未知,否
146,56,已退休,已婚,小学,否,否,是,未知,19,六月,45,9,-1,0,未知,否
147,48,技术人员,已婚,中学,否,是,否,手机,21,七月,168,5,-1,0,未知,否
148,46,行政,已婚,中学,否,是,否,手机,29,一月,194,4,436,1,其他,否
149,37,技术人员,单身,未知,否,是,否,未知,8,五月,103,3,-1,0,未知,否
150,41,企业家,已婚,未知,否,是,否,未知,6,五月,333,2,-1,0,未知,否
151,36,管理者,单身,高等教育,否,是,是,手机,29,七月,102,3,-1,0,未知,否
152,45,没工作,离异,小学,是,是,是,未知,1,七月,92,1,-1,0,未知,否
153,55,企业家,已婚,中学,否,否,否,手机,6,二月,213,2,-1,0,未知,否
154,39,技术人员,已婚,中学,否,否,否,未知,26,五月,289,1,-1,0,未知,否
155,35,技术人员,离异,中学,否,否,否,手机,22,八月,77,2,-1,0,未知,否
156,55,行政,已婚,中学,否,否,否,手机,1,六月,324,3,90,2,成功,是
157,55,技术人员,已婚,中学,否,是,否,手机,29,一月,84,3,183,3,失败,否
158,27,个体户,单身,中学,否,否,否,手机,29,一月,168,1,-1,0,未知,否
159,34,技术人员,已婚,中学,否,是,否,手机,17,四月,380,1,-1,0,未知,否
160,34,蓝领,已婚,高等教育,否,否,否,未知,4,十月,10,1,-1,0,未知,否
161,25,行政,单身,中学,否,是,否,未知,28,五月,199,2,-1,0,未知,否
162,41,行政,单身,中学,否,否,是,未知,9,五月,35,3,-1,0,未知,否
163,43,服务业,已婚,中学,否,是,是,未知,26,五月,82,2,-1,0,未知,否
164,28,管理者,单身,高等教育,否,否,否,手机,20,十月,676,2,146,2,失败,是
165,31,行政,单身,中学,否,是,否,未知,3,六月,455,1,-1,0,未知,否
166,78,保姆,已婚,中学,否,否,否,座机,16,三月,80,4,-1,0,未知,否
167,45,蓝领,离异,中学,否,是,否,手机,29,一月,549,2,-1,0,未知,否
168,48,技术人员,已婚,高等教育,否,否,否,未知,6,五月,135,1,-1,0,未知,否
169,32,蓝领,单身,中学,否,是,是,手机,10,七月,412,1,-1,0,未知,否
170,42,技术人员,已婚,中学,否,否,否,未知,20,六月,101,3,-1,0,未知,否
171,37,管理者,单身,高等教育,否,否,否,手机,28,一月,253,2,-1,0,未知,否
172,40,行政,单身,中学,否,是,是,手机,6,四月,272,1,335,4,其他,否
173,32,行政,已婚,中学,否,是,否,手机,17,七月,84,1,-1,0,未知,否
174,42,管理者,已婚,高等教育,否,否,否,手机,20,十一月,135,2,-1,0,未知,否
175,43,行政,已婚,中学,否,是,是,手机,23,七月,166,1,-1,0,未知,否
176,44,行政,已婚,中学,否,是,是,手机,31,七月,18,7,-1,0,未知,否
177,37,行政,已婚,中学,否,是,否,手机,5,五月,147,2,347,1,失败,否
178,37,未知,已婚,未知,否,否,否,未知,9,六月,63,1,-1,0,未知,否
179,37,行政,已婚,高等教育,否,是,否,手机,17,十一月,65,2,119,1,失败,否
180,28,技术人员,单身,高等教育,否,是,是,手机,2,二月,194,2,-1,0,未知,否
181,32,服务业,单身,中学,否,否,是,手机,11,七月,333,2,-1,0,未知,否
182,34,行政,单身,中学,否,是,否,手机,15,五月,14,5,-1,0,未知,否
183,40,行政,离异,中学,否,否,否,未知,11,六月,140,1,-1,0,未知,否
184,34,服务业,已婚,中学,否,是,否,未知,16,六月,109,3,-1,0,未知,否
185,34,个体户,已婚,高等教育,否,是,否,手机,23,七月,61,2,-1,0,未知,否
186,34,行政,已婚,高等教育,否,是,否,座机,19,十一月,377,3,7,4,成功,否
187,37,服务业,单身,中学,否,是,否,手机,2,二月,96,1,271,2,其他,否
188,36,技术人员,已婚,中学,否,是,否,手机,8,五月,152,2,347,1,失败,否
189,56,已退休,已婚,中学,否,是,否,手机,15,六月,382,2,-1,0,未知,是
190,49,蓝领,已婚,小学,否,是,是,座机,23,七月,97,6,-1,0,未知,否
191,33,个体户,已婚,中学,否,是,否,手机,29,七月,543,12,-1,0,未知,否
192,30,管理者,单身,高等教育,否,否,否,手机,20,十一月,240,2,-1,0,未知,否
193,36,服务业,已婚,中学,否,否,否,未知,17,六月,48,2,-1,0,未知,否
194,23,学生,单身,中学,否,否,否,手机,5,六月,471,2,-1,0,未知,否
195,57,已退休,离异,中学,否,是,否,手机,30,七月,354,3,-1,0,未知,否
196,27,蓝领,单身,中学,否,是,否,未知,30,五月,435,2,-1,0,未知,否
197,38,服务业,已婚,中学,否,否,是,手机,21,十一月,152,2,-1,0,未知,否
198,42,技术人员,已婚,高等教育,否,否,否,手机,3,四月,285,1,-1,0,未知,否
199,75,已退休,已婚,中学,否,否,否,座机,15,四月,185,1,181,2,成功,是
200,34,技术人员,单身,高等教育,否,是,否,手机,4,五月,301,1,88,2,成功,否
201,48,技术人员,已婚,中学,否,否,否,手机,6,八月,273,2,-1,0,未知,否
202,35,技术人员,单身,高等教育,否,是,否,手机,19,八月,768,2,141,3,失败,是
203,39,管理者,离异,高等教育,否,是,否,手机,19,十一月,1337,4,126,1,失败,否
204,29,蓝领,单身,高等教育,否,否,否,座机,21,四月,403,1,-1,0,未知,是
205,45,技术人员,单身,高等教育,否,是,否,手机,18,十一月,139,2,-1,0,未知,否
206,42,技术人员,已婚,中学,否,是,是,手机,9,七月,196,1,-1,0,未知,否
207,29,技术人员,已婚,中学,否,是,否,手机,8,七月,115,1,61,1,失败,否
208,38,服务业,单身,中学,否,是,否,手机,2,二月,60,1,271,1,失败,否
209,56,已退休,已婚,中学,否,否,否,手机,28,八月,17,14,-1,0,未知,否
210,36,技术人员,单身,中学,否,是,否,手机,13,八月,141,3,-1,0,未知,否
211,25,蓝领,单身,中学,否,是,否,未知,23,六月,95,3,-1,0,未知,否
212,38,技术人员,已婚,高等教育,否,是,否,手机,15,五月,10,2,373,1,其他,否
213,57,个体户,已婚,中学,否,否,否,手机,19,十一月,198,1,-1,0,未知,否
214,31,管理者,已婚,高等教育,是,否,否,手机,12,八月,220,4,-1,0,未知,否
215,42,管理者,已婚,高等教育,否,是,否,手机,3,八月,654,2,-1,0,未知,是
216,45,技术人员,已婚,中学,否,否,否,手机,11,八月,71,2,-1,0,未知,否
217,30,蓝领,已婚,中学,否,是,否,手机,13,五月,256,2,351,2,失败,否
218,49,蓝领,已婚,小学,否,是,是,座机,10,七月,834,10,-1,0,未知,否
219,49,服务业,已婚,中学,否,否,否,手机,21,八月,151,3,-1,0,未知,否
220,53,已退休,已婚,高等教育,否,是,否,手机,31,七月,20,3,-1,0,未知,否
221,37,技术人员,已婚,中学,否,是,否,未知,26,五月,178,5,-1,0,未知,否
222,49,蓝领,已婚,小学,否,否,否,未知,26,五月,59,2,-1,0,未知,否
223,41,个体户,已婚,小学,否,否,否,手机,13,八月,111,7,-1,0,未知,否
224,54,管理者,已婚,小学,否,是,否,手机,20,十一月,186,1,-1,0,未知,否
225,32,服务业,单身,中学,否,是,否,未知,6,五月,227,1,-1,0,未知,否
226,33,技术人员,已婚,中学,否,否,否,手机,15,五月,297,3,-1,0,未知,否
227,33,技术人员,已婚,中学,否,是,否,手机,20,四月,210,1,242,1,其他,否
228,36,蓝领,已婚,小学,否,是,否,手机,18,五月,9,1,-1,0,未知,否
229,35,技术人员,已婚,高等教育,否,是,是,手机,23,九月,112,1,62,6,其他,否
230,52,未知,已婚,中学,否,否,否,手机,25,八月,112,6,-1,0,未知,否
231,40,企业家,已婚,高等教育,否,否,否,未知,9,六月,222,3,-1,0,未知,否
232,44,技术人员,单身,中学,否,是,否,手机,13,五月,195,3,351,10,失败,否
233,45,蓝领,单身,中学,否,是,否,手机,26,七月,768,2,91,5,成功,否
234,30,学生,单身,中学,否,否,否,手机,26,一月,123,1,-1,0,未知,否
235,48,技术人员,离异,中学,是,否,否,手机,27,八月,145,3,-1,0,未知,否
236,33,蓝领,已婚,中学,否,是,否,手机,2,四月,124,1,308,2,其他,否
237,57,技术人员,已婚,未知,否,是,否,未知,5,五月,216,3,-1,0,未知,否
238,57,保姆,已婚,小学,否,否,否,未知,6,六月,69,3,-1,0,未知,否
239,51,没工作,已婚,高等教育,否,是,否,手机,22,七月,168,4,-1,0,未知,否
240,34,行政,单身,中学,否,是,否,手机,22,七月,483,7,-1,0,未知,否
241,50,个体户,已婚,高等教育,否,否,否,手机,19,十一月,690,3,-1,0,未知,否
242,44,管理者,已婚,高等教育,否,否,否,手机,28,八月,125,12,-1,0,未知,否
243,27,行政,已婚,中学,否,是,是,未知,4,六月,344,2,-1,0,未知,否
244,50,蓝领,已婚,中学,否,是,否,未知,14,五月,673,2,-1,0,未知,否
245,36,管理者,已婚,高等教育,否,是,否,手机,28,一月,60,1,250,1,其他,否
246,42,管理者,已婚,中学,否,是,否,未知,12,五月,247,2,-1,0,未知,否
247,32,没工作,单身,中学,否,否,否,手机,27,五月,123,2,-1,0,未知,否
248,42,管理者,已婚,高等教育,否,是,否,手机,11,七月,144,2,-1,0,未知,否
249,43,技术人员,已婚,中学,否,否,是,手机,8,五月,9,2,172,5,失败,否
250,31,管理者,已婚,高等教育,否,是,否,手机,9,二月,155,3,-1,0,未知,否
251,32,管理者,已婚,高等教育,否,否,否,手机,14,八月,134,5,-1,0,未知,否
252,55,蓝领,离异,小学,否,否,是,手机,11,七月,221,2,-1,0,未知,否
253,58,已退休,已婚,小学,否,是,否,手机,3,二月,84,3,265,2,失败,否
254,46,蓝领,已婚,小学,否,否,否,手机,8,八月,71,2,-1,0,未知,否
255,55,蓝领,已婚,中学,否,是,是,未知,23,五月,246,4,-1,0,未知,否
256,34,管理者,已婚,高等教育,否,否,是,手机,23,七月,361,2,-1,0,未知,否
257,28,没工作,单身,中学,否,否,否,手机,12,八月,119,4,-1,0,未知,否
258,42,技术人员,离异,高等教育,否,是,否,手机,29,七月,375,2,-1,0,未知,否
259,29,蓝领,单身,中学,否,否,是,手机,10,七月,1097,3,-1,0,未知,是
260,54,保姆,已婚,中学,否,是,是,手机,25,七月,97,1,-1,0,未知,否
261,32,技术人员,单身,中学,否,否,否,手机,26,八月,181,2,-1,0,未知,否
262,39,技术人员,单身,高等教育,否,否,否,手机,2,二月,83,3,-1,0,未知,否
263,53,企业家,已婚,高等教育,否,否,是,手机,21,七月,180,4,-1,0,未知,否
264,58,技术人员,已婚,高等教育,否,否,否,手机,18,八月,543,1,78,2,失败,否
265,40,个体户,已婚,中学,否,是,是,未知,23,五月,373,1,-1,0,未知,否
266,29,学生,单身,中学,否,是,否,未知,7,五月,230,1,-1,0,未知,否
267,33,技术人员,已婚,高等教育,否,是,是,手机,15,七月,83,3,-1,0,未知,否
268,38,行政,单身,中学,否,是,否,座机,31,七月,58,13,-1,0,未知,否
269,56,服务业,离异,中学,否,否,否,手机,29,七月,88,6,-1,0,未知,否
270,40,服务业,已婚,中学,否,是,否,手机,2,六月,297,1,28,3,失败,否
271,24,蓝领,单身,中学,否,是,是,手机,18,五月,487,1,-1,0,未知,是
272,46,管理者,已婚,中学,否,否,否,未知,20,六月,29,3,-1,0,未知,否
273,35,个体户,已婚,中学,否,是,否,手机,21,十一月,484,4,-1,0,未知,否
274,35,蓝领,单身,高等教育,否,是,否,手机,21,七月,262,4,-1,0,未知,否
275,34,技术人员,已婚,中学,否,是,否,未知,15,五月,644,1,-1,0,未知,否
276,35,保姆,已婚,高等教育,否,否,否,手机,12,八月,699,2,79,1,失败,否
277,38,技术人员,单身,高等教育,否,否,否,手机,28,八月,247,2,-1,0,未知,否
278,50,蓝领,已婚,小学,否,否,否,手机,18,十一月,49,3,-1,0,未知,否
279,51,蓝领,离异,小学,否,是,否,手机,13,五月,341,1,-1,0,未知,否
280,59,个体户,已婚,高等教育,否,否,否,未知,13,五月,64,2,-1,0,未知,否
281,32,蓝领,已婚,中学,否,是,否,手机,20,四月,121,1,-1,0,未知,否
282,37,蓝领,单身,中学,否,是,否,未知,2,六月,98,1,-1,0,未知,否
283,42,行政,离异,中学,否,否,否,未知,16,五月,88,6,-1,0,未知,否
284,40,学生,已婚,中学,否,否,否,未知,20,六月,197,6,-1,0,未知,否
285,28,技术人员,单身,高等教育,否,是,否,未知,9,五月,331,1,-1,0,未知,否
286,47,行政,已婚,中学,否,是,否,未知,6,六月,83,3,-1,0,未知,否
287,27,个体户,已婚,中学,否,是,否,未知,26,五月,138,2,-1,0,未知,否
288,41,管理者,已婚,高等教育,否,是,否,手机,17,七月,312,5,-1,0,未知,否
289,34,行政,已婚,高等教育,否,否,是,手机,4,八月,120,3,1,6,成功,是
290,50,蓝领,已婚,小学,否,是,否,手机,7,八月,526,2,-1,0,未知,是
291,47,蓝领,已婚,中学,否,是,否,未知,28,五月,211,2,-1,0,未知,否
292,53,服务业,已婚,中学,否,否,否,手机,18,八月,62,6,-1,0,未知,否
293,53,技术人员,离异,中学,否,是,是,手机,15,七月,135,5,-1,0,未知,否
294,47,管理者,已婚,高等教育,否,否,否,手机,14,八月,101,2,-1,0,未知,否
295,49,企业家,离异,未知,是,是,否,手机,30,七月,988,2,-1,0,未知,是
296,29,管理者,已婚,高等教育,否,否,否,手机,28,一月,451,1,-1,0,未知,否
297,45,蓝领,离异,小学,否,是,否,未知,23,五月,1030,1,-1,0,未知,是
298,38,企业家,已婚,中学,否,是,是,手机,24,七月,1484,24,-1,0,未知,是
299,32,蓝领,已婚,中学,否,是,否,手机,9,四月,317,5,-1,0,未知,是
300,70,已退休,离异,小学,否,否,否,手机,18,五月,445,1,-1,0,未知,否
301,65,已退休,离异,小学,否,否,否,手机,1,六月,383,2,188,5,失败,否
302,56,蓝领,已婚,中学,否,是,否,座机,22,七月,605,1,-1,0,未知,否
303,35,蓝领,已婚,中学,否,是,否,手机,14,七月,330,2,-1,0,未知,否
304,56,管理者,已婚,未知,否,否,是,手机,25,七月,171,2,-1,0,未知,否
305,56,技术人员,已婚,中学,否,否,是,手机,23,七月,442,2,-1,0,未知,否
306,49,企业家,已婚,中学,否,是,否,手机,17,四月,772,1,-1,0,未知,是
307,38,没工作,已婚,小学,否,是,是,未知,8,五月,249,5,-1,0,未知,否
308,35,管理者,已婚,高等教育,否,是,否,未知,9,五月,357,1,-1,0,未知,否
309,38,行政,已婚,高等教育,否,否,否,手机,18,十一月,147,2,-1,0,未知,否
310,49,蓝领,已婚,中学,否,是,是,手机,6,五月,199,7,167,1,失败,否
311,55,管理者,已婚,未知,否,否,否,手机,28,一月,271,2,-1,0,未知,否
312,43,蓝领,单身,小学,否,是,否,手机,30,七月,783,3,-1,0,未知,否
313,43,管理者,已婚,高等教育,否,否,是,手机,20,八月,472,2,-1,0,未知,否
314,25,行政,单身,高等教育,否,是,否,手机,27,五月,223,3,89,2,失败,是
315,30,蓝领,已婚,小学,否,是,否,未知,21,五月,395,2,-1,0,未知,否
316,46,蓝领,已婚,中学,否,否,否,手机,4,二月,56,1,-1,0,未知,否
317,50,行政,已婚,小学,否,否,是,未知,17,六月,641,6,-1,0,未知,否
